Depth,CALI,DT,GR,NPHI,DENPHI,RS,RT,SP
10292.0000,8.2819,81.4008,47.3775,26.3382,24.1879,1.0022,0.3586,0.1753
10292.5000,8.3250,65.3740,44.2548,23.5582,22.8813,0.9498,0.3965,0.1756
10293.0000,8.3752,62.3976,41.3484,19.6659,21.5747,1.6680,0.4344,0.1807
10293.5000,8.4255,59.4211,41.4513,15.7736,15.8525,5.2964,0.4752,0.1869
10294.0000,8.4394,61.4459,44.7698,16.2426,8.8911,6.7726,0.5275,0.1932
10294.5000,8.3987,63.4707,48.0883,16.7115,4.3879,6.4191,0.5586,0.1961
10295.0000,8.3580,65.4954,47.0892,19.8073,7.4184,4.7076,0.5577,0.1969
10295.5000,8.3174,69.8036,46.0900,23.5599,10.4490,2.3977,0.5568,0.1966
10296.0000,8.2981,74.6827,41.3772,27.5404,18.4511,1.6413,0.5611,0.1921
10296.5000,8.3642,81.7744,39.5628,26.2854,19.8270,1.4647,0.5731,0.1959
10297.0000,8.5239,81.6795,41.3715,25.0304,18.3067,1.6547,0.5850,0.2072
10297.5000,8.8238,82.0409,45.9985,23.7754,17.5989,1.7803,0.5970,0.2296
10298.0000,9.4241,84.2272,51.3301,22.6881,18.1096,1.5320,0.6090,0.2646
10298.5000,9.6960,90.4513,59.4796,26.1211,20.0700,1.0689,0.6854,0.3237
10299.0000,9.9830,97.6849,84.6581,31.8551,21.9990,1.0202,0.7617,0.3473
10299.5000,9.7781,103.2522,96.0517,38.6104,23.2628,0.9715,0.8405,0.3591
10300.0000,9.5740,106.3202,98.2724,41.2387,24.5267,0.8774,0.9209,0.3697
10300.5000,9.3731,107.6123,100.3202,43.6064,24.3804,0.7833,0.9490,0.3754
10301.0000,9.4603,106.2405,101.6762,44.9315,23.2941,0.7538,0.9423,0.3777
10301.5000,9.5475,104.8687,101.8546,44.6270,21.5569,0.9304,0.9355,0.3777
10302.0000,9.5635,98.1528,97.3224,43.2361,20.1656,1.2399,0.9743,0.3777
10302.5000,9.4728,95.4227,94.8440,40.8901,19.7399,1.4348,1.0435,0.3782
10303.0000,9.3179,97.9464,97.5890,40.1096,20.7626,1.4581,1.1127,0.3789
10303.5000,9.2762,94.7122,105.4995,40.5318,21.7673,1.2979,1.1753,0.3796
10304.0000,9.3207,90.8185,106.5673,39.9007,22.0078,1.2984,1.2278,0.3802
10304.5000,9.3652,85.3908,107.6350,39.0062,21.1203,1.5664,1.1904,0.3775
10305.0000,9.3479,84.3808,97.7364,38.1117,20.2329,1.9391,1.0365,0.3748
10305.5000,9.2381,87.1025,92.6385,33.1427,20.0795,2.0185,0.9817,0.3706
10306.0000,9.0827,97.1813,89.5883,29.5833,20.1102,1.4704,0.9522,0.3661
10306.5000,9.0472,99.7044,89.4173,29.3332,25.2616,0.9395,0.9241,0.3643
10307.0000,9.8031,107.2640,98.0199,31.0042,26.5115,0.8181,0.8969,0.3665
10307.5000,9.9361,108.0269,98.6207,40.2018,27.7614,0.8011,0.8708,0.3685
10308.0000,10.0811,106.4829,93.3042,45.0942,25.8743,0.8186,0.8491,0.3698
10308.5000,10.2340,103.4012,90.7348,44.4753,25.1496,0.8362,0.8273,0.3711
10309.0000,10.0839,100.3194,91.9097,44.0788,23.7017,0.8233,0.8056,0.3707
10309.5000,10.2636,97.2376,91.2427,44.5726,19.5566,0.9135,0.8900,0.3700
10310.0000,10.6218,91.1364,88.7237,45.0663,16.1464,1.2357,0.9745,0.3692
10310.5000,11.2479,79.5097,81.6961,33.0527,13.3991,1.6433,1.0734,0.3673
10311.0000,10.8387,78.3129,73.5411,30.3956,17.4400,1.8271,1.1723,0.3646
10311.5000,11.0183,82.7150,75.2675,33.0576,17.9772,1.6988,1.2357,0.3626
10312.0000,10.8374,79.4043,76.9939,28.0367,17.9863,1.5491,1.2903,0.3618
10312.5000,10.7498,82.9755,83.2549,32.3633,19.2275,1.3940,1.3119,0.3644
10313.0000,10.6856,86.5468,90.3781,34.2060,19.1483,1.2390,1.2018,0.3670
10313.5000,10.6213,90.1180,91.5075,36.1030,19.9338,1.1736,1.0917,0.3697
10314.0000,10.2621,93.6893,95.9282,38.0363,20.9355,1.1308,1.0042,0.3720
10314.5000,9.9690,94.9653,102.0416,39.4450,22.5447,1.0879,0.9167,0.3743
10315.0000,9.8260,95.6676,109.2077,40.7226,22.5973,1.0450,0.8556,0.3767
10315.5000,9.7745,96.3699,110.4730,40.7054,21.4161,1.0021,0.8341,0.3785
